time,wx (rad/s),wy (rad/s),wz (rad/s)
0.114,-1.97,-0.61,-0.39
0.117,-2.00,-0.65,-0.33
0.119,-2.02,-0.70,-0.28
0.121,-2.04,-0.74,-0.24
0.124,-2.06,-0.78,-0.20
0.124,-2.09,-0.82,-0.16
0.126,-2.11,-0.85,-0.13
0.130,-2.13,-0.87,-0.09
0.132,-2.15,-0.88,-0.07
0.134,-2.17,-0.89,-0.05
0.134,-2.19,-0.89,-0.04
0.136,-2.22,-0.88,-0.03
0.138,-2.24,-0.86,-0.04
0.142,-2.27,-0.84,-0.05
0.143,-2.30,-0.82,-0.07
0.145,-2.33,-0.81,-0.09
0.147,-2.36,-0.82,-0.12
0.148,-2.39,-0.84,-0.16
0.151,-2.42,-0.89,-0.21
0.153,-2.44,-0.95,-0.26
0.155,-2.48,-1.04,-0.32
0.158,-2.51,-1.16,-0.36
0.159,-2.56,-1.32,-0.39
0.161,-2.62,-1.51,-0.42
0.164,-2.68,-1.71,-0.45
0.165,-2.76,-1.89,-0.46
0.166,-2.84,-2.07,-0.47
0.168,-2.92,-2.23,-0.47
0.170,-3.01,-2.40,-0.44
0.173,-3.11,-2.57,-0.40
0.176,-3.20,-2.74,-0.34
0.178,-3.30,-2.91,-0.25
0.179,-3.40,-3.06,-0.15
0.181,-3.50,-3.20,-0.03
0.183,-3.61,-3.29,0.11
0.185,-3.71,-3.36,0.25
0.187,-3.81,-3.39,0.40
0.189,-3.91,-3.41,0.55
0.191,-3.99,-3.42,0.70
0.193,-4.05,-3.41,0.85
0.195,-4.10,-3.37,0.99
0.198,-4.13,-3.32,1.13
0.200,-4.14,-3.24,1.25
0.202,-4.14,-3.15,1.37
0.202,-4.12,-3.04,1.47
0.204,-4.09,-2.90,1.57
0.208,-4.04,-2.74,1.65
0.209,-3.99,-2.57,1.73
0.212,-3.92,-2.38,1.80
0.213,-3.85,-2.17,1.88
0.216,-3.78,-1.95,1.93
0.217,-3.69,-1.73,1.99
0.219,-3.60,-1.50,2.04
0.221,-3.51,-1.26,2.09
0.224,-3.42,-1.03,2.13
0.226,-3.33,-0.81,2.17
0.228,-3.22,-0.60,2.20
0.229,-3.13,-0.41,2.22
0.232,-3.03,-0.22,2.23
0.233,-2.92,-0.05,2.23
0.235,-2.81,0.09,2.23
0.237,-2.68,0.20,2.22
0.240,-2.56,0.27,2.21
0.243,-2.42,0.31,2.21
0.244,-2.28,0.34,2.20
0.245,-2.12,0.35,2.19
0.247,-1.97,0.35,2.18
0.249,-1.81,0.37,2.17
0.251,-1.66,0.39,2.16
0.255,-1.50,0.43,2.14
0.255,-1.35,0.49,2.12
0.258,-1.20,0.55,2.11
0.260,-1.05,0.62,2.08
0.262,-0.89,0.69,2.05
0.264,-0.75,0.76,2.02
0.266,-0.59,0.85,1.95
0.267,-0.43,0.94,1.83
0.269,-0.26,1.03,1.65
0.272,-0.10,1.12,1.39
0.273,0.07,1.20,1.04
0.276,0.21,1.26,0.62
0.277,0.34,1.27,0.15
0.279,0.45,1.22,-0.32
0.282,0.54,1.08,-0.74
0.283,0.62,0.90,-1.10
0.286,0.71,0.71,-1.35
0.288,0.80,0.53,-1.53
0.289,0.88,0.35,-1.63
0.292,0.98,0.17,-1.66
0.293,1.07,0.00,-1.65
0.296,1.18,-0.16,-1.62
0.298,1.28,-0.31,-1.58
0.299,1.38,-0.47,-1.53
0.301,1.47,-0.60,-1.49
0.304,1.57,-0.73,-1.45
0.305,1.65,-0.85,-1.43
0.307,1.72,-0.98,-1.41
0.310,1.80,-1.12,-1.41
0.311,1.86,-1.25,-1.41
0.313,1.90,-1.37,-1.41
0.315,1.95,-1.47,-1.42
0.319,1.98,-1.55,-1.42
0.319,2.00,-1.60,-1.42
0.322,2.02,-1.61,-1.43
0.323,2.02,-1.58,-1.42
0.325,2.02,-1.51,-1.43
0.328,2.00,-1.43,-1.43
0.330,1.99,-1.35,-1.43
0.331,1.97,-1.27,-1.43
0.333,1.95,-1.16,-1.42
0.336,1.93,-0.97,-1.42
0.337,1.90,-0.62,-1.40
0.340,1.88,-0.21,-1.38
0.342,1.86,0.06,-1.36
0.344,1.84,0.12,-1.34
0.346,1.82,0.06,-1.34
0.348,1.78,-0.06,-1.33
0.351,1.74,-0.20,-1.32
0.352,1.70,-0.31,-1.30
0.353,1.66,-0.37,-1.30
0.356,1.62,-0.40,-1.28
0.360,1.58,-0.44,-1.26
0.361,1.54,-0.52,-1.25
0.364,1.50,-0.63,-1.23
0.364,1.46,-0.73,-1.22
0.365,1.42,-0.84,-1.21
0.368,1.37,-0.94,-1.20
0.369,1.33,-1.02,-1.20
0.373,1.29,-1.11,-1.19
0.374,1.25,-1.19,-1.19
0.377,1.20,-1.27,-1.19
0.377,1.16,-1.35,-1.19
0.379,1.12,-1.46,-1.20
0.383,1.08,-1.59,-1.23
0.384,1.04,-1.71,-1.25
0.386,1.00,-1.85,-1.28
0.387,0.96,-1.99,-1.31
0.390,0.92,-2.16,-1.34
0.392,0.89,-2.35,-1.36
0.395,0.86,-2.54,-1.40
0.397,0.84,-2.75,-1.43
0.398,0.81,-2.93,-1.47
0.400,0.78,-3.12,-1.50
0.401,0.76,-3.30,-1.53
0.405,0.74,-3.47,-1.57
0.405,0.72,-3.65,-1.61
0.410,0.71,-3.82,-1.65
0.411,0.70,-3.97,-1.69
0.414,0.70,-4.12,-1.73
0.414,0.70,-4.21,-1.77
0.415,0.69,-4.23,-1.79
0.419,0.66,-4.15,-1.83
0.419,0.59,-3.97,-1.83
0.422,0.46,-3.70,-1.82
0.425,0.32,-3.43,-1.79
0.427,0.23,-3.32,-1.73
0.429,0.19,-3.26,-1.64
0.431,0.16,-3.17,-1.54
0.432,0.11,-3.04,-1.43
0.434,0.02,-2.85,-1.32
0.436,-0.09,-2.66,-1.24
0.438,-0.19,-2.52,-1.17
0.441,-0.29,-2.41,-1.12
0.443,-0.38,-2.31,-1.08
0.445,-0.48,-2.20,-1.05
0.447,-0.57,-2.08,-1.02
0.448,-0.65,-1.97,-0.99
0.456,-0.71,-1.89,-0.94
0.456,-0.75,-1.83,-0.88
0.456,-0.78,-1.78,-0.82
0.457,-0.79,-1.75,-0.75
0.460,-0.80,-1.74,-0.68
0.463,-0.81,-1.77,-0.59
0.463,-0.80,-1.85,-0.49
0.466,-0.80,-1.95,-0.41
0.467,-0.79,-2.06,-0.32
0.469,-0.79,-2.18,-0.24
0.471,-0.78,-2.30,-0.17
0.473,-0.77,-2.44,-0.11
0.477,-0.75,-2.58,-0.05
0.478,-0.72,-2.75,-0.01
0.479,-0.70,-2.95,0.03
0.481,-0.66,-3.18,0.05
0.484,-0.62,-3.45,0.07
0.485,-0.57,-3.75,0.08
0.488,-0.53,-4.10,0.08
0.490,-0.47,-4.47,0.07
0.491,-0.41,-4.87,0.06
0.494,-0.35,-5.29,0.03
0.496,-0.30,-5.74,-0.01
0.497,-0.24,-6.18,-0.06
0.499,-0.18,-6.62,-0.12
0.502,-0.12,-7.06,-0.19
0.503,-0.06,-7.48,-0.27
0.505,-0.00,-7.88,-0.35
0.511,0.05,-8.24,-0.43
0.512,0.12,-8.57,-0.51
0.512,0.18,-8.86,-0.59
0.513,0.25,-9.09,-0.68
0.515,0.32,-9.28,-0.76
0.517,0.40,-9.42,-0.83
0.519,0.48,-9.56,-0.89
0.521,0.58,-9.66,-0.95
0.523,0.68,-9.74,-1.00
0.526,0.80,-9.79,-1.06
0.527,0.92,-9.82,-1.10
0.530,1.04,-9.83,-1.14
0.532,1.17,-9.80,-1.16
0.533,1.30,-9.73,-1.16
0.535,1.43,-9.63,-1.17
0.538,1.55,-9.50,-1.19
0.539,1.67,-9.35,-1.21
0.543,1.77,-9.16,-1.25
0.544,1.87,-8.95,-1.31
0.546,1.95,-8.71,-1.39
0.549,2.03,-8.45,-1.48
0.551,2.09,-8.19,-1.58
0.552,2.15,-7.90,-1.69
0.554,2.20,-7.62,-1.78
0.555,2.24,-7.34,-1.87
0.557,2.27,-7.04,-1.94
0.560,2.30,-6.76,-2.01
0.562,2.31,-6.50,-2.07
0.565,2.30,-6.27,-2.12
0.565,2.28,-6.08,-2.18
0.567,2.23,-5.94,-2.24
0.569,2.17,-5.85,-2.30
0.572,2.09,-5.82,-2.36
0.574,2.00,-5.85,-2.42
0.577,1.89,-5.92,-2.47
0.578,1.76,-6.04,-2.52
0.579,1.63,-6.17,-2.56
0.583,1.49,-6.32,-2.58
0.584,1.35,-6.47,-2.60
0.585,1.20,-6.61,-2.61
0.587,1.06,-6.72,-2.60
0.590,0.93,-6.81,-2.61
0.594,0.81,-6.86,-2.61
0.596,0.69,-6.89,-2.62
0.596,0.59,-6.90,-2.63
0.597,0.49,-6.88,-2.64
0.601,0.40,-6.85,-2.66
0.602,0.31,-6.81,-2.68
0.605,0.23,-6.77,-2.71
0.605,0.16,-6.75,-2.73
0.607,0.09,-6.73,-2.76
0.611,0.02,-6.73,-2.79
0.612,-0.05,-6.74,-2.82
0.616,-0.11,-6.73,-2.85
0.616,-0.18,-6.71,-2.88
0.618,-0.25,-6.68,-2.92
0.620,-0.32,-6.62,-2.96
0.622,-0.40,-6.54,-3.00
0.624,-0.47,-6.44,-3.04
0.627,-0.54,-6.32,-3.07
0.629,-0.60,-6.18,-3.10
0.631,-0.68,-6.04,-3.13
0.631,-0.76,-5.90,-3.16
0.634,-0.85,-5.74,-3.19
0.635,-0.94,-5.56,-3.25
0.638,-1.04,-5.35,-3.30
0.641,-1.13,-5.13,-3.36
0.643,-1.22,-4.87,-3.44
0.646,-1.31,-4.59,-3.53
0.646,-1.42,-4.29,-3.64
0.648,-1.52,-3.97,-3.76
0.650,-1.63,-3.63,-3.89
0.652,-1.74,-3.30,-4.04
0.654,-1.86,-2.96,-4.20
0.655,-1.97,-2.64,-4.37
0.659,-2.08,-2.36,-4.55
0.661,-2.16,-2.13,-4.74
0.662,-2.23,-1.95,-4.95
0.666,-2.27,-1.84,-5.17
0.667,-2.29,-1.80,-5.40
0.667,-2.28,-1.82,-5.64
0.678,-2.24,-1.89,-5.88
0.678,-2.16,-2.01,-6.14
0.679,-2.06,-2.16,-6.40
0.679,-1.93,-2.33,-6.66
0.679,-1.77,-2.51,-6.92
0.680,-1.58,-2.70,-7.20
0.683,-1.36,-2.88,-7.48
0.685,-1.13,-3.06,-7.76
0.685,-0.86,-3.23,-8.05
0.687,-0.59,-3.41,-8.34
0.690,-0.29,-3.59,-8.63
0.693,0.02,-3.77,-8.90
0.695,0.33,-3.96,-9.17
0.696,0.64,-4.14,-9.42
0.708,0.95,-4.34,-9.65
0.708,1.26,-4.55,-9.87
0.708,1.54,-4.74,-10.05
0.708,1.81,-4.91,-10.21
0.708,2.04,-5.08,-10.36
0.713,2.24,-5.23,-10.47
0.714,2.39,-5.37,-10.57
0.714,2.51,-5.50,-10.65
0.714,2.59,-5.61,-10.69
0.717,2.64,-5.71,-10.73
0.717,2.65,-5.77,-10.74
0.720,2.64,-5.80,-10.74
0.722,2.60,-5.81,-10.73
0.725,2.54,-5.80,-10.71
0.727,2.45,-5.76,-10.68
0.729,2.35,-5.71,-10.64
0.731,2.22,-5.64,-10.60
0.732,2.08,-5.56,-10.55
0.734,1.92,-5.48,-10.50
0.737,1.76,-5.38,-10.45
0.739,1.59,-5.30,-10.40
0.741,1.41,-5.24,-10.34
0.743,1.23,-5.19,-10.28
0.744,1.07,-5.14,-10.21
0.747,0.90,-5.08,-10.16
0.749,0.76,-5.03,-10.11
0.751,0.62,-4.96,-10.06
0.752,0.49,-4.89,-10.01
0.754,0.38,-4.81,-9.97
0.756,0.27,-4.71,-9.94
0.759,0.18,-4.62,-9.90
0.763,0.11,-4.52,-9.85
0.764,0.05,-4.42,-9.82
0.765,0.00,-4.34,-9.80
0.767,-0.02,-4.25,-9.78
0.768,-0.04,-4.18,-9.77
0.770,-0.04,-4.13,-9.76
0.772,-0.03,-4.10,-9.75
0.775,-0.01,-4.07,-9.76
0.777,0.02,-4.06,-9.76
0.779,0.06,-4.08,-9.77
0.781,0.09,-4.12,-9.77
0.782,0.13,-4.15,-9.78
0.784,0.17,-4.19,-9.79
0.787,0.20,-4.23,-9.79
0.789,0.23,-4.26,-9.77
0.791,0.26,-4.28,-9.75
0.793,0.28,-4.29,-9.73
0.795,0.31,-4.29,-9.70
0.797,0.33,-4.27,-9.66
0.799,0.36,-4.24,-9.62
0.800,0.38,-4.20,-9.57
0.802,0.41,-4.18,-9.52
0.804,0.44,-4.15,-9.45
0.807,0.46,-4.13,-9.38
0.809,0.49,-4.11,-9.32
0.812,0.52,-4.10,-9.26
0.812,0.54,-4.10,-9.20
0.814,0.58,-4.12,-9.15
0.816,0.60,-4.14,-9.09
0.819,0.62,-4.18,-9.03
0.820,0.64,-4.23,-8.98
0.823,0.66,-4.30,-8.93
0.825,0.67,-4.35,-8.88
0.827,0.69,-4.42,-8.86
0.828,0.70,-4.48,-8.82
0.831,0.71,-4.55,-8.80
0.832,0.70,-4.64,-8.79
0.835,0.68,-4.75,-8.77
0.837,0.65,-4.84,-8.74
0.838,0.61,-4.93,-8.72
0.840,0.57,-4.99,-8.70
0.843,0.52,-5.04,-8.68
0.845,0.45,-5.10,-8.66
0.847,0.40,-5.17,-8.64
0.849,0.33,-5.21,-8.62
0.850,0.27,-5.23,-8.60
0.852,0.21,-5.23,-8.58
0.855,0.15,-5.23,-8.55
0.856,0.09,-5.20,-8.53
0.859,0.03,-5.15,-8.50
0.862,-0.02,-5.07,-8.47
0.863,-0.05,-4.96,-8.43
0.865,-0.09,-4.84,-8.38
0.868,-0.12,-4.71,-8.30
0.869,-0.15,-4.57,-8.22
0.871,-0.16,-4.43,-8.13
0.873,-0.16,-4.28,-8.03
0.874,-0.15,-4.12,-7.92
0.877,-0.12,-3.97,-7.81
0.879,-0.08,-3.83,-7.69
0.882,-0.02,-3.73,-7.55
0.884,0.04,-3.64,-7.39
0.884,0.11,-3.56,-7.23
0.886,0.18,-3.49,-7.05
0.890,0.25,-3.43,-6.86
0.890,0.31,-3.36,-6.68
0.893,0.36,-3.28,-6.49
0.897,0.40,-3.20,-6.31
0.897,0.43,-3.10,-6.13
0.899,0.45,-3.01,-5.95
0.900,0.46,-2.91,-5.78
0.903,0.46,-2.82,-5.61
0.905,0.45,-2.76,-5.45
0.908,0.44,-2.70,-5.29
0.909,0.43,-2.65,-5.15
0.912,0.40,-2.60,-5.00
0.913,0.36,-2.55,-4.87
0.916,0.32,-2.49,-4.74
0.917,0.28,-2.44,-4.62
0.919,0.22,-2.39,-4.51
0.921,0.15,-2.34,-4.42
0.923,0.08,-2.31,-4.34
0.925,0.00,-2.26,-4.27
0.928,-0.08,-2.22,-4.20
0.930,-0.15,-2.17,-4.14
0.931,-0.24,-2.11,-4.08
0.933,-0.31,-2.06,-4.02
0.935,-0.39,-2.00,-3.97
0.937,-0.47,-1.92,-3.90
0.939,-0.54,-1.82,-3.84
0.942,-0.61,-1.74,-3.77
0.944,-0.67,-1.66,-3.70
0.946,-0.73,-1.59,-3.64
0.947,-0.79,-1.55,-3.59
0.951,-0.83,-1.52,-3.55
0.951,-0.86,-1.50,-3.50
0.953,-0.87,-1.48,-3.47
0.956,-0.85,-1.47,-3.43
0.958,-0.82,-1.47,-3.39
0.959,-0.78,-1.47,-3.35
0.962,-0.72,-1.46,-3.31
0.967,-0.65,-1.44,-3.26
0.967,-0.58,-1.42,-3.22
0.967,-0.50,-1.38,-3.17
0.970,-0.43,-1.33,-3.13
0.972,-0.35,-1.27,-3.08
0.973,-0.26,-1.19,-3.03
0.975,-0.18,-1.12,-2.99
0.978,-0.10,-1.04,-2.95
0.979,-0.01,-0.95,-2.92
0.982,0.07,-0.86,-2.89
0.985,0.14,-0.77,-2.87
0.985,0.23,-0.69,-2.84
0.987,0.31,-0.63,-2.80
0.989,0.39,-0.56,-2.77
0.992,0.48,-0.51,-2.72
0.995,0.56,-0.47,-2.67
0.995,0.64,-0.44,-2.61
0.998,0.74,-0.43,-2.54
0.999,0.83,-0.42,-2.46
1.001,0.92,-0.39,-2.38
1.004,1.02,-0.37,-2.29
1.005,1.10,-0.34,-2.19
1.008,1.19,-0.31,-2.09
1.010,1.28,-0.28,-1.98
1.012,1.36,-0.24,-1.87
1.013,1.44,-0.20,-1.76
1.016,1.50,-0.17,-1.65
1.018,1.57,-0.13,-1.54
1.020,1.62,-0.10,-1.43
1.021,1.67,-0.06,-1.33
1.023,1.71,-0.00,-1.23
1.026,1.75,0.06,-1.13
1.029,1.79,0.13,-1.03
1.030,1.82,0.22,-0.93
1.032,1.84,0.31,-0.85
1.034,1.87,0.42,-0.76
1.036,1.89,0.53,-0.67
1.037,1.90,0.64,-0.58
1.041,1.91,0.74,-0.50
1.041,1.92,0.85,-0.41
1.045,1.93,0.94,-0.34
1.046,1.94,1.02,-0.26
1.048,1.94,1.09,-0.18
1.049,1.94,1.15,-0.11
1.051,1.93,1.20,-0.05
1.054,1.93,1.24,0.01
1.055,1.92,1.27,0.07
1.058,1.91,1.27,0.13
1.060,1.90,1.27,0.19
1.062,1.89,1.26,0.25
1.065,1.89,1.23,0.31
1.066,1.88,1.19,0.36
1.067,1.88,1.14,0.42
1.070,1.87,1.08,0.47
1.072,1.87,1.02,0.52
1.073,1.88,0.96,0.56
1.075,1.88,0.91,0.60
1.079,1.89,0.86,0.62
1.079,1.89,0.82,0.65
1.083,1.89,0.79,0.67
1.084,1.89,0.77,0.68
1.085,1.89,0.77,0.70
1.087,1.88,0.76,0.71
1.090,1.87,0.76,0.71
1.091,1.84,0.77,0.72
1.094,1.81,0.79,0.72
1.096,1.77,0.80,0.71
1.097,1.71,0.83,0.71
1.099,1.65,0.85,0.70
1.102,1.59,0.88,0.69
1.103,1.51,0.91,0.68
1.106,1.42,0.93,0.68
1.108,1.34,0.95,0.67
1.109,1.24,0.97,0.68
1.112,1.15,0.99,0.69
1.116,1.05,1.00,0.69
1.116,0.95,1.03,0.71
1.118,0.85,1.05,0.73
1.119,0.74,1.08,0.74
1.121,0.63,1.13,0.77
1.124,0.52,1.16,0.80
1.126,0.40,1.20,0.83
1.129,0.29,1.24,0.87
1.130,0.16,1.27,0.91
1.132,0.05,1.27,0.96
1.134,-0.07,1.26,1.04
1.136,-0.18,1.24,1.12
1.138,-0.28,1.19,1.22
1.139,-0.37,1.13,1.33
1.142,-0.46,1.04,1.45
1.144,-0.53,0.94,1.58
1.146,-0.59,0.83,1.71
1.148,-0.64,0.71,1.84
1.150,-0.68,0.60,1.98
1.153,-0.72,0.49,2.11
1.154,-0.75,0.40,2.23
1.157,-0.79,0.35,2.35
1.158,-0.82,0.33,2.48
1.160,-0.87,0.36,2.60
1.162,-0.92,0.41,2.71
1.164,-0.98,0.48,2.82
1.166,-1.05,0.58,2.94
1.169,-1.13,0.70,3.05
1.170,-1.21,0.85,3.17
1.172,-1.29,1.02,3.28
1.175,-1.38,1.16,3.40
1.176,-1.48,1.31,3.51
1.181,-1.59,1.45,3.62
1.181,-1.71,1.57,3.74
1.182,-1.83,1.67,3.85
1.185,-1.96,1.76,3.97
1.186,-2.10,1.83,4.08
1.188,-2.23,1.89,4.18
1.190,-2.38,1.94,4.28
1.192,-2.52,1.98,4.36
1.197,-2.66,2.01,4.44
1.197,-2.80,2.03,4.51
1.198,-2.94,2.02,4.56
1.201,-3.08,1.99,4.61
1.202,-3.21,1.96,4.66
1.204,-3.34,1.91,4.69
1.207,-3.46,1.85,4.71
1.208,-3.58,1.78,4.73
1.211,-3.69,1.71,4.74
1.213,-3.79,1.62,4.76
1.214,-3.88,1.52,4.79
1.217,-3.97,1.45,4.81
1.218,-4.05,1.41,4.82
1.220,-4.13,1.41,4.83
1.222,-4.19,1.43,4.82
1.224,-4.25,1.44,4.80
1.226,-4.31,1.44,4.78
1.228,-4.37,1.46,4.76
1.231,-4.43,1.48,4.74
1.233,-4.50,1.49,4.73
1.234,-4.57,1.49,4.71
1.236,-4.64,1.48,4.71
1.239,-4.71,1.45,4.71
1.240,-4.79,1.41,4.72
1.243,-4.87,1.36,4.74
1.245,-4.96,1.29,4.75
1.247,-5.04,1.21,4.77
1.254,-5.12,1.12,4.80
1.255,-5.20,1.01,4.83
1.255,-5.28,0.88,4.86
1.260,-5.35,0.73,4.91
1.260,-5.42,0.56,4.95
1.261,-5.47,0.38,4.99
1.261,-5.51,0.19,5.03
1.263,-5.54,0.01,5.07
1.265,-5.55,-0.18,5.10
1.267,-5.56,-0.35,5.13
1.269,-5.55,-0.51,5.15
1.270,-5.54,-0.66,5.16
1.272,-5.51,-0.78,5.16
1.275,-5.48,-0.89,5.16
1.277,-5.44,-0.98,5.16
1.280,-5.41,-1.06,5.15
1.281,-5.36,-1.13,5.14
1.282,-5.32,-1.17,5.13
1.284,-5.27,-1.20,5.12
1.287,-5.22,-1.21,5.11
1.289,-5.18,-1.20,5.09
1.291,-5.13,-1.18,5.08
1.292,-5.09,-1.13,5.07
1.297,-5.05,-1.08,5.05
1.298,-5.02,-1.02,5.03
1.299,-4.98,-0.95,5.02
1.300,-4.95,-0.90,4.98
1.303,-4.92,-0.85,4.96
1.305,-4.90,-0.81,4.92
1.307,-4.87,-0.79,4.89
1.309,-4.85,-0.80,4.86
1.310,-4.82,-0.84,4.82
1.315,-4.79,-0.90,4.77
1.316,-4.76,-0.99,4.74
1.317,-4.73,-1.11,4.68
1.319,-4.68,-1.24,4.63
1.320,-4.65,-1.39,4.56
1.322,-4.60,-1.55,4.49
1.324,-4.54,-1.73,4.41
1.328,-4.48,-1.92,4.32
1.330,-4.42,-2.11,4.23
1.331,-4.34,-2.31,4.15
1.333,-4.25,-2.50,4.06
1.334,-4.16,-2.70,3.99
1.337,-4.05,-2.88,3.92
1.339,-3.94,-3.04,3.86
1.341,-3.83,-3.18,3.82
1.343,-3.72,-3.30,3.78
1.345,-3.61,-3.39,3.76
1.346,-3.50,-3.46,3.75
1.349,-3.39,-3.51,3.75
1.350,-3.29,-3.56,3.76
1.353,-3.19,-3.58,3.78
1.355,-3.10,-3.59,3.82
1.356,-3.02,-3.59,3.87
1.358,-2.93,-3.57,3.92
1.361,-2.86,-3.55,3.99
1.363,-2.79,-3.52,4.05
1.365,-2.73,-3.48,4.10
1.367,-2.68,-3.44,4.16
1.369,-2.64,-3.38,4.20
1.371,-2.59,-3.32,4.22
1.372,-2.56,-3.26,4.24
1.374,-2.54,-3.19,4.22
1.377,-2.52,-3.13,4.21
1.380,-2.49,-3.07,4.16
1.381,-2.48,-3.00,4.11
1.382,-2.46,-2.94,4.05
1.386,-2.45,-2.87,3.99
1.387,-2.44,-2.80,3.92
1.388,-2.42,-2.73,3.85
1.391,-2.40,-2.65,3.79
1.393,-2.38,-2.57,3.73
1.396,-2.36,-2.51,3.69
1.397,-2.33,-2.45,3.65
1.399,-2.28,-2.40,3.62
1.401,-2.23,-2.36,3.59
1.404,-2.18,-2.32,3.58
1.406,-2.11,-2.28,3.58
1.407,-2.03,-2.27,3.57
1.410,-1.95,-2.27,3.58
1.410,-1.84,-2.30,3.59
1.414,-1.73,-2.36,3.60
1.415,-1.61,-2.44,3.61
1.418,-1.48,-2.56,3.63
1.419,-1.33,-2.70,3.65
1.420,-1.19,-2.88,3.66
1.423,-1.04,-3.09,3.68
1.425,-0.89,-3.34,3.70
1.427,-0.73,-3.62,3.73
1.430,-0.58,-3.93,3.75
1.431,-0.43,-4.25,3.78
1.433,-0.29,-4.58,3.82
1.436,-0.15,-4.91,3.85
1.437,-0.01,-5.24,3.90
1.439,0.13,-5.56,3.97
1.441,0.26,-5.87,4.03
1.443,0.39,-6.15,4.14
1.446,0.53,-6.39,4.26
1.447,0.66,-6.60,4.41
1.449,0.78,-6.77,4.59
1.452,0.90,-6.90,4.80
1.453,1.01,-7.00,5.02
1.456,1.11,-7.06,5.26
1.457,1.18,-7.08,5.51
1.459,1.24,-7.08,5.78
1.462,1.27,-7.06,6.05
1.464,1.28,-7.01,6.32
1.465,1.26,-6.94,6.60
1.467,1.21,-6.84,6.89
1.470,1.13,-6.72,7.18
1.471,1.03,-6.59,7.47
1.473,0.87,-6.45,7.76
1.476,0.68,-6.32,8.01
1.478,0.46,-6.20,8.27
1.481,0.20,-6.10,8.50
1.482,-0.09,-6.03,8.73
1.483,-0.40,-5.98,8.95
1.486,-0.73,-5.94,9.15
1.487,-1.08,-5.92,9.35
1.489,-1.42,-5.92,9.53
1.492,-1.76,-5.94,9.70
1.494,-2.09,-5.95,9.85
1.497,-2.39,-5.98,10.00
1.497,-2.66,-6.01,10.13
1.499,-2.89,-6.05,10.25
1.501,-3.08,-6.08,10.35
1.504,-3.22,-6.11,10.43
1.506,-3.33,-6.12,10.50
1.507,-3.42,-6.13,10.57
1.510,-3.47,-6.12,10.61
1.511,-3.49,-6.11,10.64
1.513,-3.50,-6.08,10.65
1.516,-3.49,-6.06,10.65
1.517,-3.46,-6.04,10.63
1.520,-3.41,-6.03,10.61
1.521,-3.34,-6.04,10.57
1.523,-3.25,-6.06,10.54
1.526,-3.13,-6.10,10.49
1.528,-3.00,-6.15,10.44
1.532,-2.84,-6.20,10.40
1.533,-2.66,-6.26,10.35
1.534,-2.47,-6.36,10.31
1.535,-2.26,-6.50,10.27
1.537,-2.04,-6.68,10.22
1.539,-1.81,-6.89,10.16
1.542,-1.57,-7.14,10.10
1.543,-1.32,-7.41,10.01
1.546,-1.06,-7.68,9.93
1.548,-0.79,-7.97,9.82
1.551,-0.53,-8.24,9.70
